SEARCH_TYPE,LEAD_SCORE,name,phone,website,address,rating,review_count,one_star_count,one_star_pct,is_claimed,missed_call_reviews,unanswered_complaints,owner_ignoring,sample_complaint,matched_keywords,place_id,contact_url
EMERGENCY,35,Dallas Air Duct Cleaning,+1469-669-3575,,"101 S Akard St, Dallas, TX 75202",4.3,83,0,0.0,True,8,11,True,UPDATE: I’ve tried calling over 5 or 6 times asking to speak to the manager to call me back & they refuse to call me back. They keep saying the manager is not in the office when I call and I leave my phone number for the manager to call me back and they STILL haven’t called me back. DO NOT USE THIS ,tried calling,ChIJAbvoXROoyIkR2HAJDICoIfs,
EMERGENCY,28,A#1 Air,+1972-460-0001,https://anumber1air.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*319*a1-air-lewisville,"601 E Corporate Dr, Lewisville, TX 75057",4.7,12772,0,0.0,True,9,1,True,"A#1 installed a Daikin AC/Furnace system in 2015 with a 16-year parts and labor warranty.  On 2/7, the indoor evaporator coil failed. I was told the part was covered, but the refrigerant was not. After reviewing my warranty paperwork, it clearly states that refrigerant loss due to a covered componen",still waiting,ChIJAQAAADyfToYRechmxizO2-g,
EMERGENCY,23,billyGO Air Conditioning & Plumbing,+1214-267-9944,https://www.billygo.com/service-area/dallas-tx/,"17430 Campbell Rd Suite 207, Dallas, TX 75252",4.7,1337,0,0.0,True,2,17,True,"Based on ChatGPT I selected BillyGO company to fix my A/C. Next day, Jordan Wiggins arrived on time, diagnosed the problem and asked me to sign a Job Order to be sent to my email address. He was impressive and professional. However, this is where the positive ends. The next day two technicians arriv",never responded,ChIJJbCE1uInTIYRp2tTMTBb-jQ,https://www.billygo.com/schedule
EMERGENCY,19,"Air Force One Plumbing Heating & Air, now part of A-Star Air Conditioning & Plumbng",+1469-476-4846,https://astardfw.com/air-force-one-plumbing-heating-and-air/,,4.6,231,0,0.0,True,1,16,True,"Have a 3 1/2 year old system which is under warranty, which decided to stop cooling the Friday before Memorial day weekend.  I bit the bullet and called them out Friday night, and paid the after hours fee.  I was told that a TXV, which I guess acts like a filter for the Freon needed replacing, which","after hours, called again",ChIJzwgkvfShToYRIVR8Lr_bp64,
EMERGENCY,17,Unlimited Air Conditioning and Heating,+1945-998-7066,https://unlimitedairandheating.com/,"822 Woodlawn Ave, Dallas, TX 75208",4.8,240,0,0.0,True,3,8,True,Do not call these guys if you need quality work for a difficult job. I had an appointment scheduled for 1pm they arrived around 2pm and left the job site before the work was completed. I personally walked around with the guys to show them and explain what I needed done. Which included fixing 2 units,closed,ChIJ88N3WYGZToYRrHFcYegd620,https://book.housecallpro.com/book/Unlimited-Air-Conditioning--Heating/6e5182c990d84e4cade06ab8c0872153?v2=true&lead_source=google&merchant_id=4f5b234b-dc7a-43bf-978a-bbd2a9acf18c&rwg_token=AFd1xnG6IN_RB08OLm0Cu66bhtqLXyNQJ6IQ8P23Dy541oW8SMaxesjstkoO0N7El__zOSbFCo8SyAm-_066sobvZXsVN90iOQ%3D%3D
EMERGENCY,9,"Jade Air, LLC",+1214-923-7904,http://jadeair.net/,"2243 Vagas St, Dallas, TX 75219",4.8,150,0,0.0,True,1,6,True,Called these people last Thursday to get a quote for an install of a part. They gave me the lowest bid by a lot so decided to go with them. The guy said the part should be in either next day or following Monday. On Friday they said the part hadn't come in so they would call us on Monday when it came,"never called back, no response",ChIJY41GYLKeToYRniOn5oxwXE8,
EMERGENCY,0,SERVPRO of Downtown Dallas - Team Shaw,+1469-909-2787,https://www.servpro.com/locations/tx/servpro-of-downtown-dallas-team-shaw?utm_medium=organic&utm_source=gbp,"1910 Pacific Ave Suite 5065, Dallas, TX 75201",4.3,53,0,0.0,True,0,0,False,,,ChIJuc4uaByZToYRrxBfTFOK75g,https://www.servpro.com/locations/tx/servpro-of-downtown-dallas-team-shaw?utm_medium=organic&utm_source=gbp
EMERGENCY,0,TEXpert Appliance Repair,+1469-504-2225,https://www.texpertappliance.com/,,4.4,58,0,0.0,True,0,0,False,,,ChIJMdXYstkrTIYRfJCkb0YzIso,https://www.texpertappliance.com/
EMERGENCY,0,The Chill Brothers,+1844-512-4455,https://thechillbrothers.com/ac-repair-service-dallas/,"8131 Lyndon B Johnson Fwy suite 790, Dallas, TX 75251",4.6,451,0,0.0,True,0,0,False,,,ChIJ601XadIhTIYRvO4eGG9HB84,https://thechillbrothers.com/contact/
EMERGENCY,0,"Lex - Air Conditioning, Heating, Plumbing, Electrical",+1972-424-2473,https://www.lexairconditioning.com/,,4.8,736,0,0.0,True,0,0,False,,,ChIJJWV7b0cYTIYR0D6whC1lCHo,https://www.lexairconditioning.com/shop/#/journey/h_v_a_c_systems
